Business Name,Product Categories,Products,Regions Served,Address,Contact Name,Phone,Email,Distributors,Website,Is this a small business?,Is this a socially disadvantaged business?,Animal Protein: USDA certified and/or custom 5a with small enterprise exemption (animal protein only),Freezer trade available,Certifications
"Stap Dairy, Inc.",Dairy,Creamline milk and other dairy products ,Mid Hudson,"426 Drexel Drive, Pine Bush, NY 12566",Garrett Stap ,(845) 901-4165,Stapg783@yahoo.com,,,checked,checked,,,GAPS certified
Thunder View Farms LLC,Animal Protein,Angus beef ,"Capital Region,Mid Hudson","62 Old Brodhead Rd, Grahamsville, NY 12740",Ric Coombe ,(914) 799-1091,Tvangus@thunderviewfarms.com,,http://www.thunderviewfarms.com/,checked,,Yes,,
King Brothers Dairy,Dairy,"Milk, cream, ice cream",Capital Region,"311 King Rd, Schuylerville, NY 12871",Jan P King,(518) 791-2875,janking74@gmail.com,,https://kingbrothers.deliverybizpro.com/,checked,,,,"GAPS certified,FSMA or other food safety plan available,Animal Welfare Approved by AGW"
Chicory Creek Farm LLC,Produce,Vegetables,Central NY,"2722 State Highway 205, Mount Vision, NY 13810",Kate Rice-Mitchell,(864) 650-2899,chicorycreekfarm@gmail.com,"607 CSA, Off The Muck Market, Capital Roots in Troy",http://chicorycreekfarm.com/,checked,checked,,,"USDA Organic,GAPS certified"
Easton Station Farms,Animal Protein,Beef ,"North Country,Capital Region","284 Easton Station Rd, Greenwich, NY 12834",Erin Perkins,(518) 269-7634,Eastonstationfarms@gmail.com,,https://www.eastonstationfarms.com/,checked,checked,Yes,,
Panama Bee Farm and Honey Co,Honey,Raw local honey,Western NY,"1812 Swede Rd, PO Box 11, Panama, NY 14767",Laura L LaMonica,(716) 782-4579,laura.l.lamonica@gmail.com,,https://www.facebook.com/panamabeefarm/,checked,checked,,,
Emmi & Sons Inc.,Produce,"Fruit, vegetables",Central NY,"1482 West Genesee Rd, Baldwinsville NY 13027",Anthony Emmi,(315) 374-3577,Emmifarms1@gmail.com,"Russo Produce,  Andy's Produce",http://www.emmifarms.com/,checked,,,,"GAPS certified,FSMA or other food safety plan available"
Brandy Brook Maple Farm ,Maple Syrup,"Maple syrup, Certified organic ",North Country,"439 Brandy Brook Rd, Ellenburg Center, NY 12934",Joy Herfurth ,(518) 569-5146,joyous360@yahoo.com,"B's Country Store, Forest Cafe, Stagecoach Inn",https://www.facebook.com/BrandyBrookMapleFarm/,checked,,,,"USDA Organic,FSMA or other food safety plan available"
Headwater Food Hub,Distributor,"NYS Kosher certified frozen corn, green beans, peas, diced carrots, and diced butternut squash; NYS cooked kidney beans, seasonal produce; NYS ground beef; NYS whole chickens; NYS pasta; NYS crushed tomato sauce; NYS dairy; reach out to emily@headwaterfoodhub.com for full catalog","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,Long Island","6318 Ontario Center Rd, Ontario, NY 14519",Emily Pacifico,(585) 565-4847,emily@headwaterfoodhub.com,Renzi; Comfort Food Community,https://www.headwaterfoodhub.com/,checked,,Yes,,"USDA Organic,GAPS certified,Animal Welfare Approved by AGW,American Humane Certified,Global Animal Partnership"
Burly Brothers Country Butchery,Animal Protein,"Ground beef, bulk ground beef, beef patties, all beef cuts ","Western NY,Southern Tier","4154 E Main Street Rd, Attica, NY 14011",Ryan Piechocki,(585) 708-4122,burlybrothersbutchery@gmail.com,,https://burlybrothersbutchery.com/,checked,,Yes,,FSMA or other food safety plan available
"Roc-Star Ice Cream Products, Inc. & Miss Mila's Whole Wheat Chocolate Chip Cookies",Other,Miss Mila's Whole Wheat Chocolate Chip cookies,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","268 Sanger Ave, Waterville, NY 13480","Robert ""ROC"" Langone",13157948151,roc@rocstaricecream.com,"Renzi, Glacier Point, Gillette Creamery",https://www.rocstarfoods.com/,checked,,,,FSMA or other food safety plan available
Shellworks,Seafood,Oysters,Long Island,"7 Glenview Dr., Southampton, NY 11968","John ""Barley"" Dunne",(631) 816-3082,barleydunne@gmail.com,,https://www.rocstarfoods.com/,checked,,No,,
Quality Dairy Farms Inc dba Mercer's Dairy,Dairy,Frozen Desserts - Ice Cream,"Central NY,North Country,Mohawk Valley","13584 State Route 12, Boonville, NY 13309",Ruth Mignerey,(315) 942-2611,rmignerey@gmail.com,Self distribute,,checked,,,,FSMA or other food safety plan available
Stick and Stone Farm,Produce,Produce,Finger Lakes,"1605 Trumansburg Rd, Ithaca, NY 14850",Lucy Garrison,(607) 216-2495,stickandstonefarm@gmail.com,,https://www.stickandstonefarm.com/,checked,checked,,,
